date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:48	3740/3740	---MCZ	200	added ('OK')	text/css	etag:W/%22e9c-195a9f07ce8%22	https://cdn.readme.io/public/hub/web/routes-Doc.0ab6d6e327e2be33020a.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/routes-Doc.0ab6d6e327e2be33020a.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:48	99/99	---MCZ	200	added ('OK')	text/css	etag:W/%2263-195a9f07ce8%22	https://cdn.readme.io/public/hub/web/Footer.7ca87f1efe735da787ba.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/Footer.7ca87f1efe735da787ba.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:48	638/638	---MCZ	200	added ('OK')	text/css	etag:W/%2227e-1948991cb88%22	https://cdn.readme.io/public/hub/web/routes-PageNotFound.d8afd1171cf7a455eed7.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/routes-PageNotFound.d8afd1171cf7a455eed7.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:48	103350/103350	---MCZ	200	added ('OK')	text/css	etag:W/%223eb1-195a5275060%22	https://cdn.readme.io/public/hub/web/Header.4c8c34bca506869e518a.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/Header.4c8c34bca506869e518a.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:49	147629/147629	---MCZ	200	added ('OK')	text/css	etag:W/%226098-195a5275060%22	https://cdn.readme.io/public/hub/web/routes-SuperHub.b85a08886b1862d582d6.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/routes-SuperHub.b85a08886b1862d582d6.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:49	3/3	---MCZ	200	added ('OK')	text/css	etag:W/%223-19538a329a0%22	https://cdn.readme.io/public/hub/web/7188.75e3fc491ee8103c63a3.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/7188.75e3fc491ee8103c63a3.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:49	44766/44766	---MCZ	200	added ('OK')	text/css	etag:W/%221b3b-19499015160%22	https://cdn.readme.io/public/hub/web/2395.593cd7b6ba0bdb6787a8.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/2395.593cd7b6ba0bdb6787a8.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:49	719236/719236	---MCZ	200	added ('OK')	text/css	etag:W/%2214403-19571ae6b38%22	https://cdn.readme.io/public/hub/web/main.ce76545ac84b178a5276.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/main.ce76545ac84b178a5276.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:50	889427/889427	---MCZ	200	added ('OK')	text/css	etag:W/%2215a00-195af172ed8%22	https://cdn.readme.io/public/hub/web/ui-styles.e9b9e6b50e13b88dd758.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/ui-styles.e9b9e6b50e13b88dd758.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:50	3375420/3375420	---MCZ	200	added ('OK')	application/javascript	etag:W/%2291dae-195af172ed8%22	https://cdn.readme.io/public/hub/web/main.f8f07fa43a5cce00374f.js	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/main.f8f07fa43a5cce00374f.js	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:50	168214/168214	---MCZ	200	added ('OK')	application/javascript	etag:W/%2294dd-19538a329a0%22	https://cdn.readme.io/public/hub/web/6601.cef2fa12a9b5e2b9df03.js	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/6601.cef2fa12a9b5e2b9df03.js	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:50	21716/21716	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219ce-195a5275060%22	https://cdn.readme.io/public/hub/web/1802.00a1e88cc0d9da2aae1b.js	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/1802.00a1e88cc0d9da2aae1b.js	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:50	11779/11779	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e17-195a5275060%22	https://cdn.readme.io/public/hub/web/6563.fbd3d15eee3b5e94f665.js	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/6563.fbd3d15eee3b5e94f665.js	(from https://umbrella-network.readme.io/docs/getting-started-1)
